,pdb,chain,CATH Domain,Class Number,Architecture Number,Topology Number,Superfamily Number,S35 Number,S60 Number,S95 Number,S100 Number,S100 Count Number,Domain Length,Resolution
11042,3mqq,B,3mqqB00,3,30,450,20,22,1,1,1,1,116,1.65
5312,4ayb,G,4aybG00,2,40,50,140,158,1,1,1,1,113,3.2
11377,1bkp,A,1bkpA00,3,30,572,10,3,1,1,1,1,278,1.7
4655,3jb9,Z,3jb9Z00,2,30,30,100,45,2,1,1,1,80,3.6
5465,2hlv,A,2hlvA00,2,40,128,20,17,2,1,1,1,149,1.65
10885,2ehg,A,2ehgA00,3,30,420,10,25,1,1,1,1,149,1.6
15219,4euz,A,4euzA00,3,40,710,10,1,2,1,1,1,269,1.08
7330,5b0h,A,5b0hA00,2,70,70,10,9,1,1,1,1,133,1.94
9074,3obk,A,3obkA00,3,20,20,70,49,4,1,1,1,352,2.5
13086,5llt,A,5lltA00,3,40,50,620,35,1,1,1,1,205,2.2
14069,1fj2,A,1fj2A00,3,40,50,1820,147,1,1,1,1,229,1.5
4564,2ed0,A,2ed0A00,2,30,30,40,121,2,1,1,1,78,999.0
6710,1f2n,C,1f2nC00,2,60,120,20,28,1,1,1,1,212,2.8
2748,5lbm,A,5lbmA00,1,20,58,1000,2,2,1,1,1,82,2.7
16601,4k29,B,4k29B00,3,90,226,10,57,1,1,1,1,260,1.66
2483,2rkl,F,2rklF00,1,20,5,420,3,1,1,1,1,52,1.5
9692,3tev,B,3tevB00,3,20,20,300,12,2,1,1,1,307,2.3
11114,3trc,A,3trcA00,3,30,450,40,5,1,1,1,1,165,1.65
15212,3ju7,A,3ju7A00,3,40,640,10,148,1,1,1,1,351,2.19
355,1ufm,A,1ufmA00,1,10,10,10,486,1,1,1,1,84,999.0
8431,3snf,A,3snfA00,3,10,130,10,6,1,1,1,1,103,1.1
13202,1gee,A,1geeA00,3,40,50,720,133,2,1,1,1,261,1.6
8866,3uv1,A,3uv1A00,3,15,10,50,1,1,1,1,1,184,2.0
5675,4akm,B,4akmB00,2,40,160,110,2,1,1,1,1,157,2.69
326,2eth,A,2ethA00,1,10,10,10,441,1,1,1,1,135,2.3
17274,2m4g,A,2m4gA00,6,10,20,70,1,1,1,1,1,75,999.0
15543,1esj,A,1esjA00,3,40,1190,20,25,1,1,1,1,284,1.8
9118,3lot,A,3lotA00,3,20,20,70,71,3,1,1,1,300,1.89
3439,3g9g,A,3g9gA00,1,20,1270,60,12,1,1,1,1,250,2.4
15311,2y3z,A,2y3zA00,3,40,718,10,1,6,1,1,1,351,1.83
3330,2c35,A,2c35A00,1,20,1250,40,3,1,1,1,1,129,2.7
7455,2yug,A,2yugA00,2,80,10,50,94,1,1,1,1,155,999.0
7601,1yfq,A,1yfqA00,2,130,10,10,2,1,1,1,1,342,1.1
8801,2o34,A,2o34A00,3,10,520,10,3,1,1,1,1,241,1.95
11,2ooa,A,2ooaA00,1,10,8,10,13,1,1,1,1,41,1.56
13812,4yly,B,4ylyB00,3,40,50,1470,4,2,1,1,1,197,2.25
11991,4hua,A,4huaA00,3,40,30,10,13,2,1,1,1,107,1.1
4272,5x8t,2,5x8t200,2,20,28,120,3,2,1,1,1,51,3.3
6538,3zpe,A,3zpeA00,2,60,90,50,1,1,1,1,1,138,2.2
11971,3da7,E,3da7E00,3,40,20,20,1,1,1,1,1,103,2.25
